,Perpetrator Sex,State,Relationship,Relationship Total
311,Female,Indiana,In-Law,7
312,Female,Indiana,Sister,6
313,Female,Indiana,Neighbor,5
314,Female,Indiana,Boyfriend/Girlfriend,2
315,Female,Indiana,Stepfather,2
316,Female,Indiana,Stepson,1
317,Female,Iowa,Son,31
318,Female,Iowa,Boyfriend,28
319,Female,Iowa,Husband,24
320,Female,Iowa,Acquaintance,23
321,Female,Iowa,Unknown,22
322,Female,Iowa,Daughter,15
323,Female,Iowa,Family,8
324,Female,Iowa,Stranger,5
325,Female,Iowa,Common-Law Husband,4
326,Female,Iowa,Ex-Husband,4
327,Female,Iowa,In-Law,3
328,Female,Iowa,Brother,2
329,Female,Iowa,Friend,2
330,Female,Iowa,Mother,2
331,Female,Iowa,Stepfather,2
332,Female,Iowa,Boyfriend/Girlfriend,1
333,Female,Iowa,Employee,1
334,Female,Iowa,Father,1
335,Female,Iowa,Stepson,1
336,Female,Kansas,Husband,65
337,Female,Kansas,Acquaintance,58
338,Female,Kansas,Boyfriend,39
339,Female,Kansas,Unknown,39
340,Female,Kansas,Daughter,30
341,Female,Kansas,Son,23
342,Female,Kansas,Stranger,14
343,Female,Kansas,Common-Law Husband,11
344,Female,Kansas,Family,9
345,Female,Kansas,Ex-Husband,7
346,Female,Kansas,Mother,5
347,Female,Kansas,Brother,4
348,Female,Kansas,Father,4
349,Female,Kansas,Friend,4
350,Female,Kansas,Sister,3
351,Female,Kansas,Employee,2
352,Female,Kansas,Stepdaughter,2
353,Female,Kansas,Employer,1
354,Female,Kansas,In-Law,1
355,Female,Kansas,Neighbor,1
356,Female,Kentucky,Husband,165
357,Female,Kentucky,Acquaintance,116
358,Female,Kentucky,Boyfriend,82
359,Female,Kentucky,Unknown,68
360,Female,Kentucky,Daughter,36
361,Female,Kentucky,Son,35
362,Female,Kentucky,Stranger,23
363,Female,Kentucky,Family,18
364,Female,Kentucky,Ex-Husband,15
365,Female,Kentucky,Friend,15
366,Female,Kentucky,Common-Law Husband,8
367,Female,Kentucky,Mother,7
368,Female,Kentucky,Brother,6
369,Female,Kentucky,Neighbor,6
370,Female,Kentucky,Father,5
371,Female,Kentucky,Sister,5
372,Female,Kentucky,Stepfather,5
373,Female,Kentucky,In-Law,3
374,Female,Kentucky,Boyfriend/Girlfriend,1
375,Female,Louisiana,Acquaintance,382
376,Female,Louisiana,Husband,305
377,Female,Louisiana,Boyfriend,222
378,Female,Louisiana,Common-Law Husband,127
379,Female,Louisiana,Stranger,124
380,Female,Louisiana,Daughter,97
381,Female,Louisiana,Son,86
382,Female,Louisiana,Unknown,76
383,Female,Louisiana,Family,41
384,Female,Louisiana,Brother,27
385,Female,Louisiana,Friend,27
386,Female,Louisiana,Father,13
387,Female,Louisiana,Neighbor,13
388,Female,Louisiana,Ex-Husband,12
389,Female,Louisiana,Boyfriend/Girlfriend,11
390,Female,Louisiana,Mother,9
391,Female,Louisiana,Sister,8
392,Female,Louisiana,In-Law,4
393,Female,Louisiana,Stepfather,4
394,Female,Louisiana,Stepson,2
395,Female,Louisiana,Common-Law Wife,1
396,Female,Louisiana,Employee,1
397,Female,Louisiana,Girlfriend,1
398,Female,Louisiana,Stepmother,1
399,Female,Maine,Husband,14
400,Female,Maine,Daughter,11
401,Female,Maine,Boyfriend,9
402,Female,Maine,Acquaintance,7
403,Female,Maine,Son,6
404,Female,Maine,Unknown,4
405,Female,Maine,Mother,3
406,Female,Maine,Friend,2
407,Female,Maine,Brother,1
408,Female,Maine,Common-Law Husband,1
409,Female,Maine,Employer,1
410,Female,Maine,Family,1
411,Female,Maine,Father,1
412,Female,Maine,Girlfriend,1
413,Female,Maine,Stepson,1
414,Female,Maryland,Acquaintance,210
415,Female,Maryland,Boyfriend,160
416,Female,Maryland,Husband,115
417,Female,Maryland,Unknown,99
418,Female,Maryland,Daughter,86
419,Female,Maryland,Son,82
420,Female,Maryland,Stranger,71
421,Female,Maryland,Family,30
422,Female,Maryland,Friend,21
423,Female,Maryland,Father,12
424,Female,Maryland,Mother,11
425,Female,Maryland,Brother,8
426,Female,Maryland,Common-Law Husband,8
427,Female,Maryland,Boyfriend/Girlfriend,4
428,Female,Maryland,Girlfriend,4
429,Female,Maryland,In-Law,4
430,Female,Maryland,Employee,3
431,Female,Maryland,Stepfather,3
432,Female,Maryland,Neighbor,2
433,Female,Maryland,Sister,2
434,Female,Maryland,Ex-Husband,1
435,Female,Maryland,Stepson,1
436,Female,Massachusetts,Boyfriend,53
437,Female,Massachusetts,Acquaintance,50
438,Female,Massachusetts,Unknown,44
439,Female,Massachusetts,Husband,36
440,Female,Massachusetts,Son,28
441,Female,Massachusetts,Daughter,24
442,Female,Massachusetts,Stranger,23
443,Female,Massachusetts,Friend,12
444,Female,Massachusetts,Neighbor,7
445,Female,Massachusetts,Brother,4
446,Female,Massachusetts,Family,4
447,Female,Massachusetts,Ex-Husband,3
448,Female,Massachusetts,Mother,3
449,Female,Massachusetts,Boyfriend/Girlfriend,1
450,Female,Massachusetts,Employee,1
451,Female,Massachusetts,Employer,1
452,Female,Massachusetts,Father,1
453,Female,Massachusetts,Girlfriend,1
454,Female,Massachusetts,Wife,1
455,Female,Michigan,Acquaintance,647
456,Female,Michigan,Husband,293
457,Female,Michigan,Boyfriend,272
458,Female,Michigan,Unknown,224
459,Female,Michigan,Son,158
460,Female,Michigan,Daughter,145
461,Female,Michigan,Stranger,132
462,Female,Michigan,Common-Law Husband,98
463,Female,Michigan,Family,65
464,Female,Michigan,Friend,51
465,Female,Michigan,Mother,38
466,Female,Michigan,Brother,23
467,Female,Michigan,Ex-Husband,16
468,Female,Michigan,Father,16
469,Female,Michigan,Sister,16
470,Female,Michigan,Neighbor,15
471,Female,Michigan,In-Law,9
472,Female,Michigan,Boyfriend/Girlfriend,8
473,Female,Michigan,Stepfather,5
474,Female,Michigan,Girlfriend,3
475,Female,Michigan,Stepson,3
476,Female,Michigan,Common-Law Wife,1
477,Female,Michigan,Employee,1
478,Female,Michigan,Employer,1
479,Female,Michigan,Wife,1
480,Female,Minnesota,Acquaintance,70
481,Female,Minnesota,Daughter,64
482,Female,Minnesota,Boyfriend,53
