,Year,State,Year
,,,count
661,1993,Connecticut,222
662,1993,Delaware,22
663,1993,District of Columbia,423
664,1993,Florida,1329
665,1993,Georgia,764
666,1993,Hawaii,44
667,1993,Idaho,32
668,1993,Illinois,1013
669,1993,Indiana,368
670,1993,Iowa,35
671,1993,Kansas,30
672,1993,Kentucky,240
673,1993,Louisiana,800
674,1993,Maine,7
675,1993,Maryland,662
676,1993,Massachusetts,210
677,1993,Michigan,976
678,1993,Minnesota,140
679,1993,Mississippi,234
680,1993,Missouri,560
681,1993,Nebraska,31
682,1993,Nevada,137
683,1993,New Hampshire,21
684,1993,New Jersey,433
685,1993,New Mexico,102
686,1993,New York,2511
687,1993,North Carolina,796
688,1993,North Dakota,11
689,1993,Ohio,631
690,1993,Oklahoma,301
691,1993,Oregon,154
692,1993,Pennsylvania,834
693,1993,Rhodes Island,41
694,1993,South Carolina,392
695,1993,South Dakota,21
696,1993,Tennessee,468
697,1993,Texas,2271
698,1993,Utah,69
699,1993,Vermont,13
700,1993,Virginia,559
701,1993,Washington,287
702,1993,West Virginia,129
703,1993,Wisconsin,241
704,1993,Wyoming,18
705,1994,Alabama,501
706,1994,Alaska,44
707,1994,Arizona,438
708,1994,Arkansas,303
709,1994,California,3962
710,1994,Colorado,187
711,1994,Connecticut,220
712,1994,Delaware,14
713,1994,District of Columbia,417
714,1994,Florida,1278
715,1994,Georgia,699
716,1994,Hawaii,53
717,1994,Idaho,40
718,1994,Illinois,1223
719,1994,Indiana,395
720,1994,Iowa,48
721,1994,Kentucky,86
722,1994,Louisiana,865
723,1994,Maine,32
724,1994,Maryland,616
725,1994,Massachusetts,205
726,1994,Michigan,946
727,1994,Minnesota,144
728,1994,Mississippi,232
729,1994,Missouri,554
730,1994,Nebraska,19
731,1994,Nevada,176
732,1994,New Hampshire,16
733,1994,New Jersey,414
734,1994,New Mexico,115
735,1994,New York,2062
736,1994,North Carolina,785
737,1994,North Dakota,1
738,1994,Ohio,623
739,1994,Oklahoma,259
740,1994,Oregon,178
741,1994,Pennsylvania,734
742,1994,Rhodes Island,44
743,1994,South Carolina,364
744,1994,South Dakota,9
745,1994,Tennessee,449
746,1994,Texas,2121
747,1994,Utah,70
748,1994,Vermont,6
749,1994,Virginia,605
750,1994,Washington,317
751,1994,West Virginia,110
752,1994,Wisconsin,247
753,1994,Wyoming,20
754,1995,Alabama,467
755,1995,Alaska,54
756,1995,Arizona,478
757,1995,Arkansas,267
758,1995,California,3760
759,1995,Colorado,219
760,1995,Connecticut,156
761,1995,Delaware,9
762,1995,District of Columbia,377
763,1995,Florida,1114
764,1995,Georgia,660
765,1995,Hawaii,58
766,1995,Idaho,48
767,1995,Illinois,821
768,1995,Indiana,380
769,1995,Iowa,56
770,1995,Kentucky,260
771,1995,Louisiana,750
772,1995,Maine,26
773,1995,Maryland,622
774,1995,Massachusetts,213
775,1995,Michigan,834
776,1995,Minnesota,180
777,1995,Mississippi,201
778,1995,Missouri,455
779,1995,Montana,19
780,1995,Nebraska,21
781,1995,Nevada,174
782,1995,New Hampshire,17
783,1995,New Jersey,423
784,1995,New Mexico,120
785,1995,New York,1601
786,1995,North Carolina,714
787,1995,North Dakota,5
788,1995,Ohio,553
789,1995,Oklahoma,401
790,1995,Oregon,146
791,1995,Pennsylvania,725
792,1995,Rhodes Island,32
793,1995,South Carolina,301
794,1995,South Dakota,13
795,1995,Tennessee,473
796,1995,Texas,1733
797,1995,Utah,78
798,1995,Vermont,13
799,1995,Virginia,519
800,1995,Washington,288
801,1995,West Virginia,92
802,1995,Wisconsin,241
